f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39
1.60092,-0.533072,-9.62018,-12.9628,-10.2254,-14.9451,-19.2339,-27.3291,-22.9749,-25.7293,-24.8368,-25.69,-29.0838,-31.8887,-32.8632,-35.113,-33.8614,-31.8349,-30.2086,-32.2269,-33.2125,-36.3435,-35.182,-36.1372,-34.458,-32.9227,-32.1695,-31.3411,-30.1727,-27.4788,-29.5376,-33.604,-35.269,-34.0064,-34.3232,-33.6265,-33.8377,-30.5539,-27.9213,-30.9683
3.17674,-0.452925,-12.6088,-12.8376,-10.3479,-15.6108,-16.4141,-26.6479,-20.5904,-22.7909,-24.7992,-27.1037,-27.2345,-27.9995,-29.8582,-30.5626,-30.813,-28.8976,-28.8841,-30.7216,-31.7368,-32.6648,-31.5862,-31.6531,-30.9501,-29.4549,-30.5257,-28.9577,-27.4068,-24.0299,-25.8027,-29.9066,-30.971,-30.9481,-31.1176,-30.1351,-29.9614,-27.5386,-25.4229,-29.1147
-2.27898,-5.24356,-17.5223,-17.1209,-16.76,-20.7233,-17.7432,-24.7508,-22.079,-20.2376,-26.0088,-28.615,-29.8843,-28.6796,-29.2468,-30.3021,-28.7445,-29.7567,-30.9652,-31.5305,-33.5232,-34.0884,-32.2257,-31.7358,-30.4684,-29.7557,-32.6791,-31.0647,-29.1265,-26.1138,-27.1834,-30.6987,-31.3984,-32.8615,-32.2382,-31.8459,-29.3146,-29.604,-27.0875,-31.8703
-13.0108,-15.5406,-21.7874,-21.904,-23.0409,-24.6912,-25.3255,-30.7336,-30.2632,-25.57,-30.2714,-33.5398,-35.0285,-36.7577,-34.4592,-36.3519,-33.8682,-35.22,-36.745,-36.2319,-39.0269,-39.7103,-38.4366,-37.1673,-35.9893,-35.6669,-38.2229,-38.5928,-36.7767,-32.6326,-32.3354,-36.5117,-38.1464,-39.063,-38.8216,-38.165,-35.1406,-35.6809,-33.4361,-38.1697
-3.02325,-4.97968,-14.6182,-19.0438,-19.9772,-19.9402,-19.2647,-26.4942,-29.3716,-27.5957,-26.5471,-29.8239,-29.9451,-32.6082,-33.1031,-30.4171,-30.5506,-31.1015,-31.1132,-30.6511,-31.9259,-32.1625,-33.2893,-30.4417,-33.626,-32.025,-30.5387,-31.0346,-31.5575,-25.7429,-24.8252,-31.8123,-32.8524,-33.2529,-33.1452,-32.9817,-31.7855,-30.1357,-26.7486,-29.6471
3.84159,-2.21734,-12.1047,-18.0799,-16.2539,-14.6946,-15.4021,-24.2487,-23.8191,-23.8557,-23.2056,-26.8568,-28.7646,-28.6042,-30.964,-27.8322,-27.6856,-26.0303,-28.5213,-28.0563,-29.9421,-29.9261,-32.1855,-29.5411,-30.0018,-30.8437,-27.8661,-27.6653,-27.8422,-22.8904,-22.3638,-28.3655,-29.0658,-30.9944,-29.4152,-30.3974,-29.0207,-27.88,-24.3455,-27.7396
2.4314,-5.09386,-13.3226,-16.9979,-14.6465,-11.6146,-18.3574,-26.8346,-24.5611,-24.6761,-25.2778,-29.116,-29.3883,-29.1306,-30.9168,-33.2061,-31.2164,-28.7759,-31.0387,-30.7411,-32.2154,-32.5866,-34.0677,-31.5531,-31.256,-31.6913,-30.4838,-30.6623,-28.4582,-24.0084,-23.3894,-29.9417,-30.2267,-31.9002,-31.2104,-31.0703,-29.5675,-28.7013,-25.9082,-30.2609
-6.44386,-10.7387,-17.1526,-22.0103,-19.4248,-17.6977,-24.8173,-32.4514,-32.3434,-32.0216,-33.2797,-34.87,-34.7307,-35.0733,-36.9126,-41.2734,-39.5737,-37.1472,-36.4771,-35.7061,-36.9172,-38.5217,-39.0928,-37.6263,-38.2499,-36.1927,-37.1654,-37.99,-34.7333,-31.0993,-31.3725,-37.1515,-36.7593,-36.8298,-38.7148,-37.4985,-35.4473,-35.2086,-32.626,-37.1407
-0.927599,-5.84268,-11.1409,-20.9366,-15.5132,-15.9602,-19.8985,-27.7763,-27.791,-26.7595,-25.7177,-27.0223,-30.3113,-27.4149,-29.4431,-30.553,-32.2344,-33.3409,-32.1543,-32.8556,-32.3439,-32.5013,-33.001,-34.9132,-34.3246,-30.8244,-32.2191,-34.8021,-30.9402,-27.7854,-27.968,-32.7276,-33.1491,-32.7738,-33.2132,-32.6826,-32.2991,-31.5481,-27.5356,-30.8718
0.882908,-0.388567,-9.74745,-14.8756,-14.3166,-12.9306,-18.2956,-24.7388,-24.917,-22.9189,-24.2358,-25.597,-24.6468,-25.4552,-26.5299,-28.7305,-29.7501,-31.269,-29.0227,-30.1587,-28.8165,-29.7292,-30.3829,-30.4806,-28.6652,-28.6861,-30.6378,-30.9378,-27.1885,-23.4666,-23.4886,-29.0391,-29.5015,-29.8084,-29.2825,-29.1945,-29.4536,-28.1603,-23.9638,-27.6699
