f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39
4.43411,-1.52717,-10.4484,-10.0194,-15.9495,-17.0983,-20.3374,-20.1176,-18.8177,-20.159,-26.9948,-26.278,-29.109,-28.3915,-29.6081,-29.229,-31.2348,-30.1969,-31.1321,-30.8522,-30.3953,-29.7609,-30.9914,-31.675,-30.9413,-30.3305,-29.2301,-27.785,-28.8473,-23.0931,-23.8433,-30.0357,-32.517,-32.666,-30.6759,-30.568,-29.9617,-30.0619,-25.7755,-28.9841
3.58738,-2.42896,-9.23548,-11.0637,-18.299,-20.0623,-25.6573,-21.2385,-16.5551,-20.9642,-27.7511,-29.4395,-29.8537,-27.7938,-28.2881,-28.4354,-35.2521,-33.5315,-33.2594,-30.6487,-32.0844,-32.9963,-31.3952,-31.259,-30.6455,-30.1811,-30.508,-29.8485,-29.5154,-24.9733,-24.8328,-31.9911,-33.4531,-33.6592,-32.9426,-31.7593,-31.457,-30.8992,-26.2271,-29.3397
-4.43723,-10.2737,-17.3252,-16.7089,-22.1765,-25.3517,-30.9678,-26.438,-23.5875,-28.5198,-33.8524,-37.7185,-34.2283,-31.416,-34.0676,-33.7953,-37.4743,-40.8158,-39.3163,-36.6751,-38.9732,-39.3703,-36.5578,-36.5727,-34.1555,-36.579,-38.5529,-37.3101,-34.9111,-29.7673,-29.5151,-38.0663,-39.1389,-39.0735,-39.3597,-38.5879,-38.8257,-37.9918,-33.0909,-35.4779
-6.66693,-6.66362,-8.14435,-11.787,-18.804,-18.5213,-24.5008,-25.7817,-30.2017,-26.9736,-29.1864,-34.8143,-31.3383,-31.4291,-30.7028,-32.7441,-28.8091,-30.573,-31.1339,-32.3766,-31.6292,-32.7487,-33.2052,-34.049,-28.8029,-30.6531,-32.4421,-31.2588,-30.7385,-24.3373,-24.7789,-30.1808,-31.9148,-33.0927,-31.9801,-33.0403,-33.1729,-32.4871,-27.0908,-29.7376
3.63224,0.377927,-3.88898,-9.08604,-15.4023,-15.4846,-18.5164,-19.5783,-24.5909,-26.0896,-24.7849,-29.0975,-26.5666,-25.9242,-27.9877,-28.604,-26.5998,-25.9271,-28.3665,-27.7276,-29.0906,-30.7669,-30.2555,-30.851,-26.9501,-27.8078,-29.4833,-27.5577,-27.3454,-22.2377,-22.603,-27.9021,-29.064,-29.9142,-29.9762,-30.4721,-30.0739,-28.3368,-24.6846,-27.8732
4.50225,0.213791,-3.54505,-8.5709,-18.3043,-16.8369,-17.6585,-20.6969,-21.5085,-24.5557,-24.5016,-30.3395,-27.6272,-26.5085,-26.8269,-26.8401,-25.0768,-28.5173,-30.8152,-29.6837,-31.9308,-31.7532,-30.5981,-31.41,-28.3473,-30.293,-28.644,-27.2477,-27.1079,-24.9139,-25.3175,-30.5967,-30.4142,-30.5792,-30.7869,-30.7132,-31.2262,-29.2338,-25.8876,-29.1607
-4.41013,-5.03877,-8.14933,-13.1052,-22.2458,-22.3041,-23.6648,-31.7142,-27.4668,-28.6568,-29.7293,-34.455,-34.1588,-33.9141,-30.8579,-32.9435,-30.2269,-35.905,-36.2331,-35.5466,-38.3569,-37.5881,-34.904,-38.0884,-36.4558,-36.7193,-33.3457,-33.6215,-33.8776,-31.3386,-30.0325,-36.5144,-36.7961,-36.0567,-36.1146,-36.1728,-37.08,-36.1768,-31.5927,-35.2601
-2.67456,-3.29005,-2.63535,-15.0964,-16.4239,-19.6828,-19.6898,-25.6186,-25.6684,-25.4085,-31.4129,-28.3699,-30.3592,-30.0589,-33.3981,-31.7193,-30.3288,-30.3558,-30.9724,-29.1918,-32.1173,-32.4612,-28.4576,-31.6475,-31.8109,-32.5671,-33.028,-32.1321,-29.3056,-24.8358,-22.999,-28.8073,-31.7254,-31.8017,-32.2841,-32.8349,-31.503,-31.4525,-27.1783,-30.8777
4.74974,3.99738,-0.958608,-11.6955,-14.1616,-14.0835,-17.458,-22.3508,-18.7806,-22.3831,-26.5489,-26.0063,-23.7584,-23.7857,-29.6285,-28.3263,-28.0645,-27.7664,-28.6691,-29.9013,-30.4167,-30.8137,-29.1502,-29.9831,-28.8956,-29.7694,-28.8697,-29.5997,-27.0878,-22.8023,-21.7656,-26.6281,-29.203,-28.3719,-30.1528,-29.6121,-28.8129,-27.8122,-24.5494,-28.623
5.97811,3.5772,-8.51766,-12.1311,-14.2885,-16.6596,-19.7913,-21.4602,-19.6124,-23.773,-23.8489,-29.4513,-24.6602,-24.3483,-29.9998,-29.3192,-28.2639,-26.7414,-28.3213,-31.1419,-33.0989,-31.3729,-31.8229,-32.4475,-30.0957,-31.5769,-28.6498,-30.0102,-29.0168,-25.537,-24.0669,-29.2901,-31.684,-29.8351,-32.7201,-30.9705,-30.4277,-27.8538,-25.1441,-29.9921
-1.58974,-4.18932,-13.0716,-15.9355,-19.3377,-23.0098,-22.4997,-24.9124,-28.8401,-28.903,-28.8613,-34.7682,-31.0072,-32.455,-33.5726,-32.8263,-33.9892,-32.8363,-34.4704,-37.1162,-37.2744,-36.9713,-36.2343,-38.6346,-36.8115,-39.2747,-34.2188,-35.6616,-34.2088,-31.5013,-30.516,-36.4654,-38.8353,-36.7732,-39.4567,-38.0104,-37.065,-33.6312,-31.8234,-36.6718
